date,type,category,amount,content
2025-02-26,refund, FOOD ,"9,999",점심
2025-06-03,income, FOOD ,+12000,보너스
2025-05-30,,salary,7천원,쿠팡
2025-05-22,refund,shopping,"10,000원",쿠팡
2025년 1월 18일,income,bonus,-7000,저녁
2025/05/24,Income,shopping, 30000 ,카페
2025.04.03,refund ,bonus,"9,999",테스트
2025년 3월 18일, EXPENSE ,salary,"15,500원",환불
2025년 6월 17일,unknown,급여,-7000,메모없음
2025.02.26,기타,cafe,"00,500",쿠팡
2025/01/15,refund,transport,+12000,버스
2025년 3월 3일,unknown,salary,문자,용돈
2025.01.18, EXPENSE ,shopping,"10,000원",쇼핑
2025년 5월 23일,,급여,문자,쇼핑
2025-03-22,기타,교통,12 000,출장
2025.02.16, bonus ,salary,"10,000원",택시
2025-04-14, income ,salary,"10,000원",월급
2025/01/28,expense, FOOD ,+12000,보너스
2025/01/18,refund ,unknown,"00,500",테스트
2025.06.12,refund ,SHOPPING,-7000,출장
2025.05.19,income,cafe, 30000 ,보너스
2025-04-27,refund, FOOD ,"10,000원",버스
2025/04/28,,food,"5,000",통신비
2025/02/21,expense,transport,-7000,카페
2025년 2월 7일,Income,bonus,-7000,쇼핑
2025.05.23,refund,cafe,"15,500원",점심
2025/06/21, income ,transport, 30000 ,보너스
2025.04.17,기타,food,"1,250원",출장
2025-05-02, EXPENSE ,transport,"15,500원",교재구매
2025년 6월 20일, EXPENSE ,cafe,0,선물
2025.03.18, income ,cafe,"10,000원",보너스
2025년 1월 7일,수입,cafe,12 000,테스트
2025/02/27,income,카페, 30000 ,출장
2025.01.28, income ,bonus,"9,999",점심
2025/06/12,Income,salary,1000,점심
2025/01/01, income ,Cafe,"15,500원",점심
2025/02/06,income,food,"10,000원",보너스
2025.01.22,refund ,transport,"5,000",지하철
2025/02/02, EXPENSE ,unknown,3만원,선물
2025년 4월 8일,refund ,,10000원,환불
2025년 5월 13일, EXPENSE ,shopping,,버스
2025.04.18, income , FOOD ,"10,000원",보너스
2025-04-15,Income,bonus,"9,999",쇼핑
2025년 1월 18일, income ,transport,+12000,저녁
2025-04-21,기타,transport,--3000,쿠팡
2025.02.16,income,salary,"15,500원",환불
2025-02-19,expense,Cafe,"10,000원",버스
2025년 3월 25일,expense,food,"1,250원",용돈
2025.02.07,income,food, 30000 ,쇼핑
2025년 6월 4일,수입,bonus, 30000 ,출장
2025년 6월 9일,unknown,카페,"5,000",점심
2025/06/03,income,food,"15,500원",쿠팡
2025년 3월 14일, bonus ,gift,0,
2025.05.29,refund ,cafe,"9,999",  
2025.05.30,Income,shopping,1000,교재구매
2025/04/22,expense,salary,"9,999",쇼핑
2025.04.26,income,bonus, 30000 ,저녁
2025년 4월 22일,expense,Cafe,"9,999",마트
2025-04-08,refund,bonus,+12000,점심
2025년 2월 18일, EXPENSE ,shopping,"5,000",보너스
2025년 5월 27일,Income,교통,--3000,메모없음
2025-01-24,refund,transport,"15,500원",카페
2025년 1월 5일, income ,food,+12000,월급
2025/04/24,refund, FOOD ,-7000,점심
2025-02-01,Income,salary,0,통신비
2025-06-25, EXPENSE ,cafe,1000,환불
2025.02.08,income,gift, 30000 ,배달
2025.01.16, income ,transport,1000,점심
2025년 4월 4일,수입,카페,,지하철
2025-05-05, income ,bonus,-7000,쇼핑
2025-01-09,refund,cafe, 30000 ,보너스
2025년 3월 27일,refund,cafe,"10,000원",카페
2025년 4월 12일,unknown,travel,"00,500",용돈
2025/03/18,Income, FOOD , 30000 ,쇼핑
2025/04/04,,Cafe,"9,999",메모없음
2025/05/05,Income,bonus,"15,500원",점심
2025-05-19, EXPENSE ,food,+12000,쇼핑
2025-01-14,expense,salary,"10,000원",보너스
2025-03-03, EXPENSE ,travel,"15,500원",마트
2025년 6월 16일,Income,카페,"1,250원",테스트
2025-03-24,expense,shopping,3만원,교재구매
2025년 3월 23일,,쇼핑,"10,000원",
2025년 4월 27일,refund,bonus,"15,500원",쇼핑
2025-06-06,refund,쇼핑,7천원,쿠팡
2025년 5월 22일,income,급여,"1,250원",저녁
2025년 6월 8일,refund,shopping,"5,000",점심
2025.06.22, EXPENSE , FOOD ,+12000,쇼핑
2025.03.09, income ,cafe,"10,000원",월급
2025.03.16, EXPENSE ,salary,"15,500원",쇼핑
2025/03/01,refund,salary,"9,999",저녁
2025-01-23,refund,Cafe, 30000 ,쇼핑
2025-04-14, income ,transport,"5,000",월급
2025-02-21,income,shopping, 30000 ,카페
2025년 1월 14일, EXPENSE ,salary,"10,000원",쇼핑
4월 31일,expense,식비,--3000,선물
2025/01/22, income , FOOD ,"10,000원",쇼핑
2025년 1월 20일, EXPENSE ,bonus,"00,500",
2025-05-09,refund ,쇼핑,"10,000원",선물
2025.02.23, income ,salary,"5,000",카페
2025/06/09,지출,shopping, 30000 ,통신비
2025-01-03, EXPENSE ,food,"9,999",보너스
2025/04/18, income ,transport,-7000,월급
2025.01.07,income,bonus,1000,보너스
2025/03/18, EXPENSE ,Cafe,"10,000원",쇼핑
2025-01-12, income ,Cafe,"5,000",버스
2025-01-30,unknown,shopping,"1,250원",택시
2025.06.02,expense,cafe,-7000,환불
2025년 6월 2일,refund ,식비,"9,999",테스트
2025.05.11,,bonus,"00,500",테스트
2025.06.21,expense,교통,7천원,교재구매
2025.06.12,Income,cafe,"9,999",환불
2025년 1월 19일, EXPENSE ,food,"10,000원",카페
2025.03.19, bonus ,SHOPPING,"5,000",마트
2025년 1월 28일, EXPENSE , FOOD ,+12000,환불
2025-04-10,refund ,bonus,,쇼핑
2025-06-18,,bonus,3만원,보너스
2025-05-30, EXPENSE ,shopping,"15,500원",카페
2025/01/01,기타,쇼핑,0,  
2025/04/16, income ,bonus,-7000,카페
2025/05/20, income ,transport,1000,버스
2025-06-07,,unknown,1000,메모없음
2025년 3월 9일,income,salary,10000원,테스트
2025.05.28,income,shopping,"9,999",교재구매
2025/01/20, income ,shopping,1000,환불
2025.02.05,expense,salary,"15,500원",버스
2025/01/10, EXPENSE , FOOD ,"5,000",버스
2025.04.03,expense,shopping,"9,999",저녁
2025년 6월 25일,지출,shopping,"10,000원",카페
2025.06.14, bonus ,카페,-7000,교재구매
2025/04/19,unknown,cafe,문자,메모없음
2025년 3월 5일,income,Cafe,"10,000원",쇼핑
2025-02-21,expense,salary,"10,000원",택시
2025.06.21,수입,,7천원,점심
2025년 4월 17일, EXPENSE ,bonus,12 000,점심
2025.04.15,refund,transport,"5,000",카페
2025.06.28,expense, FOOD , 30000 ,버스
2025.06.07,income,shopping,1000,쇼핑
2025년 3월 26일, EXPENSE ,bonus,7천원,용돈
2025년 6월 4일,expense,transport, 30000 ,보너스
2025.05.18,expense,salary,"10,000원",환불
2025.03.26,refund,Cafe,-7000,보너스
2025년 2월 14일,refund,급여,--3000,지하철
2025/03/10, bonus ,shopping,10000원,카페
2025/03/15,지출,salary,"1,250원",택시
2025년 3월 9일,refund, FOOD ,"5,000",환불
2025/05/13, income ,salary,--3000,출장
2025년 3월 17일,expense,transport,"10,000원",보너스
2025년 1월 11일,수입,food,"9,999",카페
2025년 5월 1일,expense,Cafe,"10,000원",버스
2025년 2월 7일, income ,food,"5,000",버스
2025년 6월 23일,refund,food,-7000,메모없음
2025.02.19, bonus ,쇼핑,7천원,출장
2025-05-09,expense,cafe,-7000,교재구매
2025년 2월 14일,income, FOOD , 30000 ,쇼핑
2025/05/16,refund,food,"5,000",교재구매
2025/05/05,Income,Cafe,-7000,보너스
2025/05/30,expense,bonus,"9,999",보너스
2025-04-17,refund,salary,1000,보너스
2025년 5월 26일, EXPENSE , FOOD ,+12000,점심
2025/03/27,expense,salary,"10,000원",쇼핑
2025년 4월 30일,income,shopping, 30000 ,버스
2025/04/14,income,bonus,1000,저녁
2025/04/18,expense,Cafe,-7000,점심
2025/06/19,수입,travel,"9,999",용돈
2025년 5월 4일,refund,salary,"5,000",월급
2025-06-19,income,salary,1000,마트
0000-00-00,지출,gift,"00,500",테스트
2025.04.26,Income,교통,3만원,택시
2025/03/06,expense,cafe, 30000 ,환불
2025년 2월 18일, EXPENSE ,쇼핑,"5,000",출장
2025/03/10, income ,transport,"5,000",보너스
2025-04-23, income ,Cafe,"5,000",점심
2025년 5월 10일,expense,식비,"9,999",택시
2025년 1월 16일,expense, FOOD ,"15,500원",점심
2025.06.26,지출,쇼핑,"9,999",저녁
2025.03.12,expense,cafe,"9,999",저녁
2025/05/23,income,unknown,--3000,배달
2025-06-12, income ,cafe,"9,999",카페
2025/04/24, EXPENSE ,cafe,1000,교재구매
2025.03.01,income, FOOD ,-7000,쇼핑
2025-04-13,수입,bonus,3만원,용돈
2025-06-06, income ,cafe, 30000 ,월급
2025.04.17,refund,shopping,"00,500",마트
2025/02/03, EXPENSE ,salary,"10,000원",저녁
2025.06.23, bonus ,gift,"5,000",보너스
2025-03-22,,SHOPPING,7천원,보너스
2025/06/14,expense,gift,"9,999",교재구매
2025/06/06,income,Cafe,"15,500원",월급
,지출, FOOD ,문자,통신비
2025.05.25,,카페,3만원,보너스
2025-05-09, EXPENSE ,Cafe,"9,999",저녁
2025-06-14, EXPENSE , FOOD ,+12000,점심
2025/01/20, EXPENSE ,bonus,"5,000",보너스
2025년 2월 28일, EXPENSE ,transport, 30000 ,월급
2025년 6월 29일,unknown,,"10,000원",출장
2025년 4월 15일, income ,shopping,"5,000",쇼핑
2025년 1월 21일,income,SHOPPING,"15,500원",  
2025/04/22,expense,Cafe,1000,보너스
2025-02-12,Income,food,"15,500원",보너스
2025.01.11,refund,transport,1000,환불
2025/05/28, income , FOOD ,"15,500원",월급
2025.06.17,income,Cafe,"15,500원",보너스
2025.05.07,refund,shopping,"9,999",월급
2025-04-23, EXPENSE ,salary,1000,교재구매
2025년 2월 7일, EXPENSE ,food,-7000,카페
2025-05-02, income ,cafe, 30000 ,쇼핑
2025-01-30,income,transport,"1,250원",테스트
2025.01.21,expense,cafe,"5,000",월급
2025년 4월 22일,expense,Cafe,10000원,  
2025.03.31,refund ,쇼핑, 30000 ,쇼핑
2025년 5월 18일,Income,transport,+12000,교재구매
2025/05/10,Income,salary,1000,저녁
2025/02/07,expense, FOOD ,"10,000원",카페
2025.03.06,refund,cafe,"15,500원",교재구매
2025/01/30, EXPENSE ,bonus,"10,000원",보너스
2025/04/01,기타,교통,,출장
2025.04.15,Income,Cafe,-7000,점심
2025년 2월 23일, income ,bonus,"5,000",환불
2025-06-18,기타,salary,3만원,카페
2025/03/26,Income,Cafe,-7000,버스
2025-04-26,refund,bonus,-7000,교재구매
2025-02-23, EXPENSE ,bonus, 30000 ,환불
2025.03.19,기타,unknown,"10,000원",테스트
2025-06-29,refund,food,"15,500원",보너스
2025.06.08, EXPENSE ,transport, 30000 ,저녁
2025-03-26,refund,cafe,-7000,환불
2025년 1월 15일,expense,cafe,"5,000",쇼핑
2025/01/12, income ,unknown,3만원,출장
2025-01-19, income ,food, 30000 ,저녁
2025년 4월 24일,expense,transport,"5,000",환불
2025/05/03,income,cafe,"15,500원",쇼핑
2025.04.28,refund,food,"9,999",보너스
2025/04/02, bonus ,shopping,7천원,지하철
2025년 2월 11일,refund,cafe,1000,보너스
2025년 4월 13일,수입,bonus,"1,250원",택시
2025-05-25,refund,cafe, 30000 ,저녁
2025-02-21, bonus ,salary,,저녁
2025.01.04, income ,shopping,-7000,점심
2025-02-24, bonus ,salary,,쿠팡
