date,type,category,amount,content
2024-04,payment,HOBBY,129원,마트 장보기
20240410,buy,groceries,30원,친구 만남 환불건
20240415,spend,hotel,52000,월세 urgent
2024/10/07,입금,meal,70원,카페
20241212,buy, gift ,"1,2,3",월세 urgent
20240721,용돈, groceries , 165 ,카페 현금
2025/01,payback,electricity,,교통비 memo
20240510, Income ,gift,103만 원,교통비 확인필요
2026-13-40,출금,hobby,61원,게임 결제 현금
20241129,용돈,salary,-153원,저녁 #2
2025-08-17,buy,fashion, 53 ,마트 장보기 memo
2025-08-19,출금,rent,14원,월급
2025/12,출금,income bonus!!,36000,수업 urgent
2025.11.17, Income ,bakery,35원,월세 현금
2025/06,used, coffee ,abc123,온라인 주문 카드
2024-02-04,지출, monthly pay ,약 135만,월세
2025/09/16, Income ,uber,-137원,게임 결제 확인필요
03/28/2026,income,uber,16만 원,마트 장보기 urgent
20240509,salary,,190원,환불 memo
2024년09월24일,expense, FOOD ,215천원,카페
2026-01,salary,hospital,78천원,카페 확인필요
20240528,expense,flight, 136 ,
2025-10,,congrats,26000,카페 카드
2025.12.07,income,TRAVEL,,마트 장보기 #5
,입금,trip,약 182만,
2025.01.19,buy,monthly pay,약 237만,여행 준비
2024-10-10,payback,waterbill,무료,게임 결제
2025년03월17일, Expense ,RENT,십만원,not_available
2025-10-30,expnse,latte, 132 ,병원 카드
2025.01,수입,water bill,약 162만,여행 준비 환불건
2024년10월23일,income,tuition, 162 ,월세
not_available,payment,restaurant,-248원,저녁
2026-01-08,bonus,vet,138원,저녁 환불건
2025-04-27,refund,gift,25천원,월급 환불건
2025년09월22일,bonus,tour, 250 ,출장 현금
2024/03/05,allowance,shop,11원,병원
2024-03-23, Income ,cat snack,198천원,온라인 주문 환불건
2024-06-27,used,lunch,무료,월급 카드
2025년04월20일,bonus,bakery,237원,수업 memo
2026.02,income,course,30원,여행 준비 #7
2024년11월29일,지출,dessert,57원,수업 #3
2025.04.10,refund,latte,33원,월급 환불건
2026-02,salary,tour,약 148만,게임 결제 현금
04/18/2025,allowance,course,약 229만,점심
abcd,expense,pay,26천원,점심 #7
2024년10월29일, Expense ,congrats,-147원,
2026.03.01,출금,hotel,1.1,저녁 확인필요
20251215,payment,pharmacy,약 만원,병원 환불건
2025-01,수입, dog food ,139원,출장 memo
20240930,spend,clothes,213원,마트 장보기 현금
2025/11/20,용돈,,28원,환불 카드
01/24/2024,수입,concert,6000,
20240825,출금,congrats,136.7,마트 장보기 urgent
01/15/2025,expense,mart, 42 ,환불 #3
2024.11.20,지출,transport,38천원,마트 장보기
2025.05.26,other,birthday gift,181000,환불 memo
2026.01,??,LUNCH,57천원,
2026-02-30,수입,hotel,abc123,병원 환불건
20250911,expnse,dessert,73000,친구 만남 환불건
2025.03,allowance,game,37000,여행 준비 현금
2024-03-31,salary,fuel,36000,게임 결제 urgent
2024.11,used, travel ,-164원,마트 장보기
2025년12월05일,salary,eatout,145천원,월급 카드
01/18/2024,income, monthly pay ,70천원,저녁 urgent
20240319,refund,dog food,212.4,기념일 카드
2026.04.23,수입,flight,42원,출장 현금
20250622, Expense ,Food,123000,월세 memo
2024-11-07, Expense , tour ,33000,월급
2026/02, Income ,birthday gift,233000,
2026/02/11,payment, coffee ,??,기념일
2026년03월10일, Expense ,transport,247000,월급 카드
2025-05,buy, FOOD ,109000,여행 준비 환불건
2024.05,spend,Food,십만원,월세 카드
2025년03월14일,used,UTILITY,173원,친구 만남
2025/12/12,buy,latte!!,104원,온라인 주문 확인필요
2025/11,수 익, flight ,128000,not_available
2026/04/30,expense,hobby,160만 원,게임 결제 #8
2025.05,지출,pet,"1,2,3",월세 확인필요
2024-02-06,salary,study,100천원,게임 결제 카드
2025-06-02,용돈,income bonus,73000,
31/31/2026,입금,congrats,92천원,
08/28/2024, Expense ,pharmacy,10천원,수업
2025-08-25,,Shopping,약 만원,여행 준비 현금
2025년03월22일, Expense ,,3천원쯤,친구 만남 현금
20240309,payment,lunch,170만 원,월세
20251004,used,tour,164만 원,수업 카드
2025.04.18,salary,concert,163000,교통비 현금
2024/09/01,income,hotel,112천원,온라인 주문
04/02/2026,buy,groceries,,친구 만남 memo
2024/04,expnse,book,31만 원,온라인 주문
2024-05,입금,study!!,무료,온라인 주문 환불건
2025/12/17,allowance,starbucks,93천원,저녁 #1
01/28/2025,지출,clinic,약 233만,마트 장보기 #2
2024.06,출금,rent, 121 ,수업
2025/06/02,입금,cat snack,not_available,월세
10/05/2025, Income , coffee ,약 203만,환불
2026-04,payment,shop,214.3,
,payment,game123,13천원,친구 만남
2024-04-30,출금, netflix ,약 49만,게임 결제
2024년07월30일,other,study,8000,카페 현금
2025/04/14,refund,game,189만 원,
2024-02,,PET,98000,저녁 urgent
2025-05,buy,birthday gift,81원,온라인 주문 확인필요
09/26/2024,출금,electricity,약 219만,출장
2024.02,용돈,salary,144천원,환불 memo
31/31/2026,refund,internet,약 150만,
2024/07,??,PHARMACY,175원,월급
abcd,used,shopping,3천원쯤,환불
2024-10, Expense , gas ,약 62만,출장 확인필요
2024.10.18,용돈, internet ,214천원,병원 urgent
2025/03/09,지출,monthly pay,-,환불 카드
2025/06/21,allowance,flight,176.3,저녁
2025/06/09,출금,birthday gift,150원,월세
2024/02/16,salary,event gift,207000,교통비
, Income ,food,약 만원,게임 결제 현금
2025-09,출금, clinic ,209원,출장
20250322,salary,study,??,게임 결제
2025년08월22일,입금,movie,"1,2,3",마트 장보기 환불건
2025.06,income,income bonus,약 만원,게임 결제 환불건
2024.01.22,bonus,Salary,176000,월세 urgent
2025/02,지출,lecture!!, 23 ,게임 결제 확인필요
05/20/2025,수입,dinner,41원,친구 만남 확인필요
2024/08/20,used,clothes,143000,월급 환불건
2026/02/12,incomee,travel,,출장
2025.12,used,clinic,36원,점심 환불건
2025.06.01,payback,concert,-193원,수업 확인필요
2025-06,,restaurant,-,수업 확인필요
2025.11.07,unknown,cat snack,180만 원,기념일 urgent
2025.09.17,used,fuel, 201 ,친구 만남 카드
2026.01.12,spend,uber,41원,온라인 주문 urgent
2025/06/01,지출, train ,241원,월세 #6
20250818,payment,shop,64원,기념일
2025/03,income,bakery!!,약 만원,병원 현금
2025.03,used, game ,183천원,월급 환불건
2026.02.03,other, medical ,75원,기념일 urgent
2026.03.21,입금,online shopping!!,126원,저녁 환불건
2025.08,incomee,tour,36만 원,월세 memo
,출금,bonus,228천원,교통비 현금
03/01/2026, Expense ,meal,194원,게임 결제
2025.06.28,other,lecture,156000,점심 확인필요
20240125,salary,restaurant,-66원,교통비 현금
2024-07-04,spend,shop,약 97만,카페 환불건
2025/05,other,income bonus,105만 원,not_available
2025/08/23,수입,starbucks,217만 원,기념일
2025/07,수 익,groceries,약 168만,
05/08/2025,출금,lecture, 42 ,병원
2024/10,수입,water bill,182천원,여행 준비 환불건
2024-12-02,??,eatout,173원,게임 결제 카드
2026-02-30,expense,movie,212만 원,점심 환불건
2024.07,income, utility ,-78원,기념일 urgent
2025년12월21일,allowance,mart,190만 원,친구 만남
2025년08월06일,spend,gift,137만 원,점심
2024/11,출금,birthday gift,195원,not_available
2025.06,allowance,eatout,약 58만,카페
2024/03/05,allowance,cat snack,122000,여행 준비 #9
2026.03,used,food,228.1,월세 urgent
2025/03/18,income,fashion,106000,점심 확인필요
2025/03/14,income, mall ,,환불 urgent
2025.05,refund,clinic, 246 ,환불 환불건
12/17/2024,income,PRESENT,214만 원,
2024년07월24일,지출,monthly pay,178000,마트 장보기 memo
2025-04-10,expense,present, 124 ,병원 확인필요
2024-01,payback,,150.5,
2026-13-40,bonus,tuition,51원,점심 확인필요
2024-04,other,clothes,약 205만,친구 만남
2024년05월13일,allowance,fashion,-12원,마트 장보기 memo
10/06/2025,used,groceries,43만 원,기념일 카드
2024-11,used,netflix123,-236원,출장 #8
2024/11,buy,water bill,22000,저녁 카드
2025.03,출금,,abc123,기념일 urgent
20250609,spend,HOSPITAL,무료,온라인 주문 urgent
2025.09.10,incomee,CAT SNACK,211000,점심 카드
2024/06,bonus,fuel,203원,수업 환불건
2025-07-25,입금,rent,91000,병원 urgent
2024-01-24,??,internet,156만 원,병원 카드
2025/05/01,용돈,Shopping,46원,교통비
01/30/2025,salary,GROCERIES,44000,월급 카드
2026/01/30,bonus,starbucks,122원,출장 환불건
2024.01.08,출금,latte,118천원,
2026-02-30,used,tour,-211원,수업 확인필요
2024/07/06,income,, 75 ,
2024.08,수입,Shopping,200000,저녁
2026-02-30,used,event gift,3000,월세 환불건
,used,hotel,5만 원,병원
01/12/2024,payback,gift, 114 ,월급 urgent
2025-09-04,allowance,tuition,5천원,출장 #2
2024.04.08,expense,dinner,160000,월급 #4
2024.11.27,payback,bakery!!, 72 ,출장 urgent
2025/05/26,buy,eatout, 100 ,여행 준비 memo
2025.11,income,fuel,60만 원,not_available
31/31/2026,spend,Salary,-,병원
2026.01,지출,shopping,-166원,여행 준비 #6
2024년02월25일,payment,income bonus,2원,저녁 #3
20240626,payment,snack,185000,마트 장보기 현금
2025년10월12일,용돈,fashion,109만 원,게임 결제 확인필요
03/26/2024,buy,starbucks,73천원,환불 #8
2024-07-13,수입,electricity,약 102만,친구 만남
2024/05,??,bonus,90만 원,저녁 확인필요
2024.09,payback,gift,67만 원,카페
2024/04,입금,clinic,110000,병원 확인필요
2026/01/15,입금,utility123,192천원,게임 결제
2026-02-30,allowance,eventgift,181원,월급 현금
2024년07월09일,refund,tuition,113만 원,교통비 urgent
not_available,payback,bakery,3원,not_available
2024/02/12,income,uber,87만 원,여행 준비 #6
2025/11,income,RENT, 103 ,월급 urgent
2026년02월08일,입금,flight,약 1만,점심
2026-01,payment,monthly pay,"1,2,3",게임 결제 확인필요
2024.07.18,expense,travel,약 141만,월급 카드
2024.08.04, Expense ,gift,232천원,게임 결제
2025.10,payback,pet,-184원,수업 #4
2024/10/24,payback,book,약 81만,not_available
,allowance,water bill,33만 원,병원 카드
2024.11.19,spend, netflix , 192 ,여행 준비 카드
05/06/2024,expnse,present,97원,출장
2026.03.05,출금,tour,6만 원,기념일 확인필요
2026-02-30,bonus, vet ,203만 원,마트 장보기
2025.03,refund,tour, 93 ,환불 확인필요
2024-06-21,용돈,Food,152천원,카페
05/15/2025,buy,monthly pay,-23원,온라인 주문 memo
not_available,용돈,TAXI,147천원,교통비 환불건
2025/12,refund,restaurant,6천원,게임 결제 카드
2025/07/05,payment,clinic,2만 원,환불
2026/99/99,expense,,44천원,not_available
06/15/2025,used,monthly pay,91만 원,저녁
2024년11월02일,수 익,,109원,교통비 환불건
2026/99/99,buy,lunch, 50 ,교통비
2026/03,입금,Shopping,105원,여행 준비
08/19/2024,allowance,study,32원,게임 결제 카드
08/08/2025, Expense ,tuition,-89원,병원 현금
20240110,buy,UBER,250천원,수업
2024.12,spend,dog food,243000,친구 만남 #2
2024-06-18,salary,salary,약 131만,월급
2026-02-02,지출,birthday gift,abc123,카페
20240516,income,Salary,약 만원,월급 urgent
2024년09월28일,입금,shopping,218천원,여행 준비 memo
2024.12.24,income, Salary ,40천원,not_available
2024년09월13일,지출,Salary, 113 ,수업 memo
2025년12월27일,salary,pay, 42 ,온라인 주문 확인필요
2025.05.22,allowance, event gift ,203원,카페 memo
2025-09-03,spend,snack123,131000,온라인 주문 확인필요
2025/12/24,buy,vacation,31원,
2024/05,bonus,snack,약 163만,저녁 확인필요
2024/11/07,salary,game,not_available,
2024년11월25일,salary,medical,94000,환불 memo
20250105,payment, dessert ,약 만원,출장 환불건
